カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Abomination of Gudul,1,{3}{B}{G}{U},Abomination of Gudul,,GUB,,クリーチャー,ホラー,"Flying<br/>Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.<br/>Morph {2}{B}{G}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>",3,4,,,,,,,,,,,,Abomination of Gudul,グドゥルの嫌悪者,"Flying<br/>Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.<br/>Morph {2}{B}{G}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>",飛行<br/>グドゥルの嫌悪者がプレイヤー１人に戦闘ダメージを与えるたび、あなたはカードを１枚引いてもよい。そうしたなら、カードを１枚捨てる。<br/>変異{2}{B}{G}{U}（あなたはこのカードを、{3}で２/２クリーチャーとして裏向きに唱えてもよい。これの変異コストで、これをいつでも表向きにしてよい。）,,,Erica Yang,159,,,,,,,,,,KTK,コモン,,
Abzan Ascendancy,1,{W}{B}{G},Abzan Ascendancy,,BGW,,エンチャント,,"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br/>Whenever a nontoken creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.",,,,,,,,,,,,,,Abzan Ascendancy,アブザンの隆盛,"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.<br/>Whenever a nontoken creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.",アブザンの隆盛が戦場に出たとき、あなたがコントロールする各クリーチャーの上に、＋１/＋１カウンターをそれぞれ１個置く。<br/>あなたがコントロールするトークンでないクリーチャーが１体死亡するたび、飛行を持つ白の１/１のスピリット・クリーチャー・トークンを１体戦場に出す。,,,Mark Winters,160,,,,,,,,,,KTK,レア,,
Abzan Banner,1,{3},Abzan Banner,,Colorless,,アーティファクト,,"{Tap}: Add {W}, {B}, or {G} to your mana pool.<br/>{W}{B}{G}, {Tap}, Sacrifice Abzan Banner: Draw a card.",,,,,,,,,,,,,,Abzan Banner,アブザンの戦旗,"{Tap}: Add {W}, {B}, or {G} to your mana pool.<br/>{W}{B}{G}, {Tap}, Sacrifice Abzan Banner: Draw a card.","{Tap}：あなたのマナ・プールに{W}か{B}か{G}を加える。<br/>{W}{B}{G}, {Tap}, アブザンの戦旗を生け贄に捧げる：カードを１枚引く。","<i>Stone to endure, roots to remember.</i>",<i>石は忍耐、根は記憶。</i>,Daniel Ljunggren,215,,,,,,,,,,KTK,コモン,,
Abzan Battle Priest,1,{3}{W},Abzan Battle Priest,,W,,クリーチャー,人間 クレリック,"Outlast {W} <i>({W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has lifelink.",3,2,,,,,,,,,,,,Abzan Battle Priest,アブザンの戦僧侶,"Outlast {W} <i>({W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has lifelink.","長久{W}（{W}, {Tap}：このクリーチャーの上に＋１/＋１カウンターを１個置く。長久はソーサリーとしてのみ行う。）<br/>あなたがコントロールする＋１/＋１カウンターが置かれている各クリーチャーは絆魂を持つ。","<i>""Wherever I walk, the ancestors walk too.""</i>",<i>「私が歩むすべての場所は、祖先も一緒に歩む。」</i>,Chris Rahn,1,,,,,,,,,,KTK,アンコモン,,
Abzan Charm,1,{W}{B}{G},Abzan Charm,,BGW,,インスタント,,Choose one ?<br/>? Exile target creature with power 3 or greater.<br/>? You draw two cards and you lose 2 life.<br/>? Distribute two +1/+1 counters among one or two target creatures.,,,,,,,,,,,,,,Abzan Charm,アブザンの魔除け,Choose one ?<br/>? Exile target creature with power 3 or greater.<br/>? You draw two cards and you lose 2 life.<br/>? Distribute two +1/+1 counters among one or two target creatures.,以下から１つを選ぶ。<br/>・パワーが３以上のクリーチャー１体を対象とし、それを追放する。<br/>・あなたはカードを２枚引き、あなたは２点のライフを失う。<br/>・クリーチャーを１体か２体対象とする。それらに２個の＋１/＋１カウンターを好きなように割り振って置く。,,,Mathias Kollros,161,,,,,,,,,,KTK,アンコモン,,
Abzan Falconer,1,{2}{W},Abzan Falconer,,W,,クリーチャー,人間 兵士,"Outlast {W} <i>({W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has flying.",2,3,,,,,,,,,,,,Abzan Falconer,アブザンの鷹匠,"Outlast {W} <i>({W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has flying.","長久{W}（{W}, {Tap}：このクリーチャーの上に＋１/＋１カウンターを１個置く。長久はソーサリーとしてのみ行う。）<br/>あなたがコントロールする＋１/＋１カウンターが置かれている各クリーチャーは飛行を持つ。",<i>The fastest way across the dunes is above.</i>,<i>砂丘群を越えるのに最も速い手段は、上から行くことだ。</i>,Steven Belledin,2,,,,,,,,,,KTK,アンコモン,,
Abzan Guide,1,{3}{W}{B}{G},Abzan Guide,,BGW,,クリーチャー,人間 戦士,Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br/>Morph {2}{W}{B}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>,4,4,,,,,,,,,,,,Abzan Guide,アブザンの先達,Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br/>Morph {2}{W}{B}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）<br/>変異{2}{W}{B}{G}（あなたはこのカードを、{3}で２/２クリーチャーとして裏向きに唱えてもよい。これの変異コストで、これをいつでも表向きにしてよい。）,"<i>""These roads are desolate and changeable. Follow me, or die in the wastes.""</i>",<i>「これらの道は荒廃しているうえに変わりやすい。私の後をついてくるがいい。さもなくば荒野で屍をさらすことになる。」</i>,Steve Prescott,162,,,,,,,,,,KTK,コモン,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,クリーチャー１体を対象とする。ターン終了時まで、それのコントロールを得る。そのクリーチャーをアンタップする。ターン終了時まで、それは速攻を得る。,"<i>""The Sultai take our dead, so we shall take their living!"" <br/></i><br/></i>?Taklai, Mardu ragesinger</i>",<i>「スゥルタイは我らの死者を取っていく。だから我々は奴らの生ある者を取る！」 <br/></i><br/></i>――マルドゥの憤怒歌い、タクライ</i>,Min Yum,95,,,,,,,,,,KTK,コモン,,
Ainok Bond-Kin,1,{1}{W},Ainok Bond-Kin,,W,,クリーチャー,猟犬 兵士,"Outlast {1}{W} <i>({1}{W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has first strike.",2,1,,,,,,,,,,,,Ainok Bond-Kin,アイノクの盟族,"Outlast {1}{W} <i>({1}{W}, {Tap}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)</i><br/>Each creature you control with a +1/+1 counter on it has first strike.","長久{1}{W}（{1}{W}, {Tap}：このクリーチャーの上に＋１/＋１カウンターを１個置く。長久はソーサリーとしてのみ行う。）<br/>あなたがコントロールする＋１/＋１カウンターが置かれている各クリーチャーは先制攻撃を持つ。","<i>""Hold the line, for family and the fallen!""</i>",<i>「家族や倒れた者たちのため、この戦線を維持せよ！」</i>,Chris Rahn,3,,,,,,,,,,KTK,コモン,,
Ainok Tracker,1,{5}{R},Ainok Tracker,,R,,クリーチャー,猟犬 スカウト,First strike<br/>Morph {4}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>,3,3,,,,,,,,,,,,Ainok Tracker,アイノクの足跡追い,First strike<br/>Morph {4}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>,先制攻撃<br/>変異{4}{R}（あなたはこのカードを、{3}で２/２クリーチャーとして裏向きに唱えてもよい。これの変異コストで、これをいつでも表向きにしてよい。）,<i>Some ainok of the mountains are accepted among the Temur as trusted hunt-mates.</i>,<i>山に住むアイノクのなかには、信頼できる狩猟仲間としてティムールに受け入れられた者たちもいる。</i>,Evan Shipard,96,,,,,,,,,,KTK,コモン,,
