カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト,
Academy Raider,1,{2}{R},Academy Raider,,R,,クリーチャー,人間 戦士,"Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br/>Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",1,1,,,,,,,,,,,,Academy Raider,アカデミーの略奪者,"Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",威嚇（このクリーチャーはアーティファクト・クリーチャーかこれと共通の色を持つクリーチャー以外にはブロックされない。）アカデミーの略奪者がプレイヤー１人に戦闘ダメージを与えるたび、あなたはカードを１枚捨ててもよい。そうした場合、カードを１枚引く。,,,Karl Kopinski,124,,,,,,,,,,M14,コモン,,,4
Accorder's Shield,1,{0},Accorder's Shield,,Colorless,,アーティファクト,装備品,Equipped creature gets +0/+3 and has vigilance. <i>(Attacking doesn't cause it to tap.)</i><br/>Equip {3} <i>({3}: Attach to target creature you control. Equip only as a sorcery.)</i>,,,,,,,,,,,,,,Accorder's Shield,調和者隊の盾,Equipped creature gets +0/+3 and has vigilance.<br/>Equip {3},装備しているクリーチャーは＋０/＋３の修整を受けるとともに警戒を持つ。<br/>装備 {3},"<i>An Auriok shield is polished to a mirror finish even on the inside, enabling its bearer to watch foes ahead and behind.</i>",<i>オーリオックの盾は、内側すらも鏡のように磨かれていて、持ち主の前と後の敵を同時に見ることができるようにしている。</i>,Alan Pollack,136,,,,,,,,,,SOM,コモン,,,
Accorder's Shield,1,{0},Accorder's Shield,,Colorless,,アーティファクト,装備品,Equipped creature gets +0/+3 and has vigilance. <i>(Attacking doesn't cause it to tap.)</i><br/>Equip {3} <i>({3}: Attach to target creature you control. Equip only as a sorcery.)</i>,,,,,,,,,,,,,,Accorder's Shield,調和者隊の盾,Equipped creature gets +0/+3 and has vigilance. <i>(Attacking doesn't cause it to tap.)</i>Equip {3} <i>({3}: Attach to target creature you control. Equip only as a sorcery.)</i>,装備しているクリーチャーは＋０/＋３の修整を受けるとともに警戒を持つ。（それは攻撃してもタップしない。）装備 {3}({3}：あなたがコントロールするクリーチャー１体を対象とし、これをつける。装備はソーサリーとしてのみ行う。）,"<i>An Auriok shield is polished to a mirror finish even on the inside, enabling its bearer to watch foes ahead and behind.</i>",<i>オーリオックの盾は、内側すらも鏡のように磨かれていて、持ち主の前と後の敵を同時に見ることができるようにしている。</i>,Alan Pollack,204,,,,,,,,,,M14,アンコモン,,,3
Accursed Spirit,1,{3}{B},Accursed Spirit,,B,,クリーチャー,スピリット,Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>,3,2,,,,,,,,,,,,Accursed Spirit,呪われたスピリット,Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>,威嚇（このクリーチャーはアーティファクト・クリーチャーかこれと共通の色を持つクリーチャー以外にはブロックされない。）,<i>Many have heard the slither of dragging armor and the soft squelch of its voice. But only its victims ever meet its icy gaze.</i>,<i>それが鎧を引き摺る音や、それのくぐもった湿り声を聞いた者は数多い。だがそれの凍てつく眼差しを受けたことがあるのは、犠牲になった者だけだ。</i>,Kev Walker,83,,,,,,,,,,M14,コモン,,,2
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。 そのクリーチャーをアンタップする。 それはターン終了時まで速攻を得る。 （このターン、それは攻撃したり{Tap}したりできる。）,"<i>""Rage courses in every heart, yearning to betray its rational prison.""</i><br/></i>?Sarkhan Vol</i>",<i>「怒りは誰の心の中にもあり、道理の檻を抜けることを求め続けている。」</i><br/></i>――サルカン・ヴォル</i>,Eric Deschamps,124,,,,,,,,,,M10,アンコモン,,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。 そのクリーチャーをアンタップする。 それはターン終了時まで速攻を得る。 （このターン、それは攻撃したり{Tap}したりできる。）,"<i>""Rage courses in every heart, yearning to betray its rational prison.""</i><br/></i>?Sarkhan Vol</i>",<i>「怒りは誰の心の中にもあり、道理の檻を抜けることを求め続けている。」</i><br/></i>――サルカン・ヴォル</i>,Eric Deschamps,121,,,,,,,,,,M11,コモン,,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。 そのクリーチャーをアンタップする。 それはターン終了時まで速攻を得る。 （このターン、それは攻撃したり{Tap}したりできる。）,"<i>""Rage courses in every heart, yearning to betray its rational prison.""</i><br/></i>?Sarkhan Vol</i>",<i>「怒りは誰の心の中にもあり、道理の檻を抜けることを求め続けている。」</i><br/></i>――サルカン・ヴォル</i>,Eric Deschamps,121,,,,,,,,,,M12,コモン,,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。それはターン終了時まで速攻を得る。,"<i>Each day uncertainty and rumors spread, and each night attendance at the Juri Revue increases.</i>",<i>疑念と噂は日を追うごとに広まり、ジョーリ組の観客は夜毎に増えている。</i>,Matt Stewart,85,,,,,,,,,,GTC,コモン,,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。それはターン終了時まで速攻を得る。（このターン、それは攻撃したり{Tap}したりできる。）,"<i>""Rage courses in every heart, yearning to betray its rational prison.""?Sarkhan Vol</i>",<i>「怒りは誰の心の中にもあり、道理の檻を抜けることを求め続けている。」――サルカン・ヴォル</i>,Eric Deschamps,125,,,,,,,,,,M14,コモン,,,
Advocate of the Beast,1,{2}{G},Advocate of the Beast,,G,,クリーチャー,エルフ シャーマン,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",2,3,,,,,,,,,,,,Advocate of the Beast,獣の代言者,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",あなたの終了ステップの開始時に、あなたがコントロールするビースト・クリーチャー１体を対象とし、それの上に＋１/＋１カウンターを１個置く。,"<i>""I am neither their drover nor their leader. To these majestic beasts, I am simply their herdmate and nothing more.""</i>",<i>「俺は獣追いでもなければあいつらの統率者でもない。威厳に満ちた獣達にとって、俺は単なる群れの仲間であって、それ以上の何者でもないんだ。」</i>,Jesper Ejsing,164,,,,,,,,,,M14,コモン,,,
Air Servant,1,{4}{U},Air Servant,,U,,クリーチャー,エレメンタル,Flying<br/>{2}{U}: Tap target creature with flying.,4,3,,,,,,,,,,,,Air Servant,大気の召使い,Flying<br/>{2}{U}: Tap target creature with flying.,飛行<br/>{2}{U}：飛行を持つクリーチャー１体を対象とし、それをタップする。,"<i>""Wind is forceful, yet ephemeral. It can knock a dragon out of the sky, yet pass through the smallest crack unhindered.""</i><br/></i>?Jestus Dreya, Of Elements and Eternity</i>",<i>「風は力強いが、束の間の命だ。 それは空から竜を追い落とし、その一方でどんなに狭い隙間も軽々と通り抜ける。」</i><br/></i>――ジェスタス・ドレイヤ「元素と永遠と」</i>,Lars Grant-West,42,,,,,,,,,,M11,アンコモン,,,
Air Servant,1,{4}{U},Air Servant,,U,,クリーチャー,エレメンタル,Flying<br/>{2}{U}: Tap target creature with flying.,4,3,,,,,,,,,,,,Air Servant,大気の召使い,Flying{2}{U}: Tap target creature with flying.,飛行{2}{U}：飛行を持つクリーチャー１体を対象とし、それをタップする。,"<i>""Wind is forceful, yet ephemeral. It can knock a dragon out of the sky, yet pass through the smallest crack unhindered.""?Jestus Dreya, Of Elements and Eternity</i>",<i>「風は力強いが、束の間の命だ。それは空から竜を追い落とし、その一方でどんなに狭い隙間も軽々と通り抜ける。」――ジェスタス・ドレイヤ「元素と永遠と」</i>,Lars Grant-West,42,,,,,,,,,,M14,アンコモン,,,
"Ajani, Caller of the Pride",1,{1}{W}{W},"Ajani, Caller of the Pride",,W,,プレインズウォーカー,アジャニ,"+1: Put a +1/+1 counter on up to one target creature.<br/>-3: Target creature gains flying and double strike until end of turn.<br/>-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.",,,4,,,,,,,,,,,"Ajani, Caller of the Pride",群れの統率者アジャニ,"+1: Put a +1/+1 counter on up to one target creature.<br/>-3: Target creature gains flying and double strike until end of turn.<br/>-8: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.",＋１：クリーチャーを最大１体まで対象とし、それの上に＋１/＋１カウンターを１個置く。<br/>－３：クリーチャー１体を対象とする。それはターン終了時まで飛行と二段攻撃を得る。<br/>－８：白の２/２の猫・クリーチャー・トークンをＸ体戦場に出す。Ｘはあなたのライフの総量に等しい。,,,D. Alexander Gregory,1,,,,,,,,,,M13,神話レア,,,
