カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Abrupt Decay,1,{B}{G},Abrupt Decay,,BG,,インスタント,,Abrupt Decay can't be countered by spells or abilities.<br/>Destroy target nonland permanent with converted mana cost 3 or less.,,,,,,,,,,,,,,Abrupt Decay,突然の衰微,Abrupt Decay can't be countered by spells or abilities.<br/>Destroy target nonland permanent with converted mana cost 3 or less.,突然の衰微は呪文や能力によって打ち消されない。<br/>点数で見たマナ・コストが３以下の土地でないパーマネント１つを対象とし、それを破壊する。,<i>The Izzet quickly suspended their policy of lifetime guarantees.</i>,<i>イゼット団は直ちに生涯保証のポリシーを撤回した。</i>,Svetlin Velinov,141,,,,,,,,,,RTR,レア,,
Act of Treason,1,{2}{R},Act of Treason,,R,,ソーサリー,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and {Tap} this turn.)</i>,,,,,,,,,,,,,,Act of Treason,反逆の行動,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。それはターン終了時まで速攻を得る。,"<i>Each day uncertainty and rumors spread, and each night attendance at the Juri Revue increases.</i>",<i>疑念と噂は日を追うごとに広まり、ジョーリ組の観客は夜毎に増えている。</i>,Matt Stewart,85,,,,,,,,,,GTC,コモン,,
Adaptive Snapjaw,1,{4}{G},Adaptive Snapjaw,,G,,クリーチャー,トカゲ ビースト,"Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>",6,2,,,,,,,,,,,,Adaptive Snapjaw,順応する跳ね顎,"Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>",進化（クリーチャーが１体あなたのコントロール下で戦場に出るたび、そのクリーチャーのパワーかタフネスがこのクリーチャーよりも大きい場合、このクリーチャーの上に＋１/＋１カウンターを１個置く。）,"<i>""Eh, needs more toad."" <br/></i><br/></i>?Gulistan, Simic biomancer</i>",<i>「あー、カエルがもっと要るな。」――シミックの生術師、グリスタン</i>,Tomasz Jedruszek,113,,,,,,,,,,GTC,コモン,,
Advent of the Wurm,1,{1}{G}{G}{W},Advent of the Wurm,,GW,,インスタント,,Put a 5/5 green Wurm creature token with trample onto the battlefield.,,,,,,,,,,,,,,Advent of the Wurm,ワームの到来,Put a 5/5 green Wurm creature token with trample onto the battlefield.,トランプルを持つ緑の５/５のワーム・クリーチャー・トークンを１体戦場に出す。,<i>The consciousness of Mat'Selesnya does not always spread in peaceful ways.</i>,<i>マット・セレズニアの意識が常に平和な手段で伝播するとは限らない。</i>,Lucas Graciano,51,,,,,,,,,,DGM,レア,,
Aerial Maneuver,1,{1}{W},Aerial Maneuver,,W,,インスタント,,Target creature gets +1/+1 and gains flying and first strike until end of turn.,,,,,,,,,,,,,,Aerial Maneuver,天駆ける進撃,Target creature gets +1/+1 and gains flying and first strike until end of turn.,クリーチャー１体を対象とする。それはターン終了時まで＋１/＋１の修整を受けるとともに飛行と先制攻撃を得る。,"<i>""When you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness."" <br/></i><br/></i>?Predak, Gateless freemage</i>",<i>「恐れも戸惑いもなしにすべてを賭して攻撃する。その瞬間にこそ人は偉大になるのだ。」――門なしの自由魔道士、プレーダク</i>,Scott Chou,1,,,,,,,,,,GTC,コモン,,
Aerial Predation,1,{2}{G},Aerial Predation,,G,,インスタント,,Destroy target creature with flying. You gain 2 life.,,,,,,,,,,,,,,Aerial Predation,空中捕食,Destroy target creature with flying. You gain 2 life.,飛行を持つクリーチャー１体を対象とし、それを破壊する。あなたは２点のライフを得る。,"<i>In the towering trees of the Samok Stand and the predators that guard them, the might of the Ravnican wild has returned.</i>",<i>サーモク木立の背の高い木々とそれを守る捕食者の中で、ラヴニカの自然は力を取り戻した。</i>,BD,113,,,,,,,,,,RTR,コモン,,
?therize,1,{3}{U},?therize,,U,,インスタント,,Return all attacking creatures to their owner's hand.,,,,,,,,,,,,,,?therize,霊気化,Return all attacking creatures to their owner's hand.,すべての攻撃クリーチャーをオーナーの手札に戻す。,"<i>""You can come back once you've learned some manners?and figured out how to reconstitute your physical forms.""</i>",<i>「少し礼儀というものを学んでから出直すんだな――それに、肉体を再構成する方法も見つけたほうがいい。」</i>,Ryan Barger,29,,,,,,,,,,GTC,アンコモン,,
?therling,1,{4}{U}{U},?therling,,U,,クリーチャー,多相の戦士,{U}: Exile ?therling. Return it to the battlefield under its owner's control at the beginning of the next end step.<br/>{U}: ?therling can't be blocked this turn.<br/>{1}: ?therling gets +1/-1 until end of turn.<br/>{1}: ?therling gets -1/+1 until end of turn.,4,5,,,,,,,,,,,,?therling,霊異種,{U}: Exile ?therling. Return it to the battlefield under its owner's control at the beginning of the next end step.<br/>{U}: ?therling is unblockable this turn.<br/>{1}: ?therling gets +1/-1 until end of turn.<br/>{1}: ?therling gets -1/+1 until end of turn.,{U}：霊異種を追放する。次の終了ステップの開始時に、これをオーナーのコントロール下で戦場に戻す。<br/>{U}：このターン、霊異種はブロックされない。<br/>{1}：霊異種はターン終了時まで＋１/－１の修整を受ける。<br/>{1}：霊異種はターン終了時まで－１/＋１の修整を受ける。,,,Tyler Jacobson,11,,,,,,,,,,DGM,レア,,
Agoraphobia,1,{1}{U},Agoraphobia,,U,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets -5/-0.<br/>{2}{U}: Return Agoraphobia to its owner's hand.,,,,,,,,,,,,,,Agoraphobia,外出恐怖症,Enchant creature<br/>Enchanted creature gets -5/-0.<br/>{2}{U}: Return Agoraphobia to its owner's hand.,エンチャント（クリーチャー）エンチャントされているクリーチャーは－５/－０の修整を受ける。{2}{U}：外出恐怖症をオーナーの手札に戻す。,"<i>""Everyone in this city is choosing sides. I choose inside.""</i>",<i>「この都では誰もがどちら側につくかを選んでいる。私が選んだのは、内側。」</i>,Jim Murray,30,,,,,,,,,,GTC,アンコモン,,
Alive,1,{3}{G},Alive,,G,,ソーサリー,,Put a 3/3 green Centaur creature token onto the battlefield.<br/>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>,,,,,,,,,,,,,,Alive,生存,Put a 3/3 green Centaur creature token onto the battlefield.<br/>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>,緑の３/３のケンタウルス・クリーチャー・トークンを１体戦場に出す。<br/>融合（あなたはこのカードの片方の半分または両方の半分をあなたの手札から唱えてもよい。）,,,Nils Hamm,121,,,,,,,,,,DGM,アンコモン,,
