カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Abhorrent Overlord,1,{5}{B}{B},Abhorrent Overlord,,B,,クリーチャー,デーモン,"Flying<br/>When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br/>At the beginning of your upkeep, sacrifice a creature.",6,6,,,,,,,,,,,,Abhorrent Overlord,忌まわしき首領,"Flying<br/>When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br/>At the beginning of your upkeep, sacrifice a creature.",飛行<br/>忌まわしき首領が戦場に出たとき、飛行を持つ黒の１/１のハーピー・クリーチャー・トークンをあなたの黒への信心に等しい数だけ戦場に出す。（あなたの黒への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる{B}の総数に等しい。）<br/>あなたのアップキープの開始時に、クリーチャーを１体生け贄に捧げる。,,,Slawomir Maniak,75,,,,,,,,,,THS,レア,,
Acolyte's Reward,1,{1}{W},Acolyte's Reward,,W,,インスタント,,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i>",,,,,,,,,,,,,,Acolyte's Reward,侍祭の報賞,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i>",クリーチャー１体を対象とし、クリーチャー１体かプレイヤー１人を対象とする。このターン、次にその前者に与えられるダメージをＸ点軽減する。Ｘはあなたの白への信心に等しい。これによりダメージが軽減されるなら、侍祭の報賞はその点数に等しい点数のダメージをその後者に与える。（あなたの白への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる{W}の総数に等しい。）,,,Slawomir Maniak,1,,,,,,,,,,BNG,アンコモン,,
Aegis of the Gods,1,{1}{W},Aegis of the Gods,,W,,エンチャント クリーチャー,人間 兵士,You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>,2,1,,,,,,,,,,,,Aegis of the Gods,神々の神盾,You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>,あなたは呪禁を持つ。（あなたはあなたの対戦相手がコントロールする呪文や能力の対象にならない。）,<i>Athreos cares little for the other gods' conflict with mortals. He is concerned only with safe passage for the dead.</i>,<i>エイスリオスは他の神々と定命の者たちとの戦いにさしたる興味は無かった。彼の唯一の関心は、死者の無事な通過だけにあった。</i>,Yefim Kligerman,1,,,,,,,,,,JOU,レア,,
Aerial Formation,1,{U},Aerial Formation,,U,,インスタント,,Strive — Aerial Formation costs {2}{U} more to cast for each target beyond the first.<br/>Any number of target creatures each get +1/+1 and gain flying until end of turn.,,,,,,,,,,,,,,Aerial Formation,空中隊形,Strive — Aerial Formation costs {2}{U} more to cast for each target beyond the first.<br/>Any number of target creatures each get +1/+1 and gain flying until end of turn.,奮励 ― 空中隊形を唱えるためのコストは、２つ目以降の対象１つにつき{2}{U}多くなる。<br/>望む数のクリーチャーを対象とする。それらはそれぞれターン終了時まで＋１/＋１の修整を受けるとともに飛行を得る。,,,Zack Stella,30,,,,,,,,,,JOU,コモン,,
Aerie Worshippers,1,{3}{U},Aerie Worshippers,,U,,クリーチャー,人間 クレリック,"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.",2,4,,,,,,,,,,,,Aerie Worshippers,高巣の崇拝者,"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.",神啓 ― 高巣の崇拝者がアンタップ状態になるたび、あなたは{2}{U}を支払ってもよい。そうしたなら、飛行を持つ青の２/２の鳥・クリーチャー・エンチャント・トークンを１体戦場に出す。,<i>They can conjure stars from a clear sky.</i>,<i>彼らは青空から星を呼び出すことができる。</i>,Mike Sass,30,,,,,,,,,,BNG,アンコモン,,
Agent of Erebos,1,{3}{B},Agent of Erebos,,B,,エンチャント クリーチャー,ゾンビ,"Constellation — Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.",2,2,,,,,,,,,,,,Agent of Erebos,エレボスの代行者,"Constellation — Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.",星座 ― エレボスの代行者か他のエンチャントが１つあなたのコントロール下で戦場に出るたび、プレイヤー１人を対象とする。そのプレイヤーの墓地にあるすべてのカードを追放する。,<i>Erebos's minions hunt the Returned and warn those who consider the same folly.</i>,<i>エレボスの下僕たちは蘇りし者を狩り、同じ過ちを犯そうとする者たちに対して警告をしている。</i>,Cyril Van Der Haegen,59,,,,,,,,,,JOU,アンコモン,,
Agent of Horizons,1,{2}{G},Agent of Horizons,,G,,クリーチャー,人間 ならず者,{2}{U}: Agent of Horizons can't be blocked this turn.,3,2,,,,,,,,,,,,Agent of Horizons,彼方の工作員,{2}{U}: Agent of Horizons can't be blocked this turn.,{2}{U}：このターン、彼方の工作員はブロックされない。,"<i>The light in the woods just before dawn reveals a glimmering network of branches, roots, and spiderwebs. The acolytes of Kruphix walk this lattice unseen.</i>",<i>夜明の直前に差した森の陽光は、光り輝く木の根や枝、蜘蛛の巣で構成された網を照らし出した。クルフィックスの侍祭たちは、その格子模様の中を姿なく歩く。</i>,Clint Cearley,148,,,,,,,,,,THS,コモン,,
Agent of the Fates,1,{1}{B}{B},Agent of the Fates,,B,,クリーチャー,人間 暗殺者,"Deathtouch<br/>Heroic — Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.",3,2,,,,,,,,,,,,Agent of the Fates,運命の工作員,"Deathtouch<br/>Heroic — Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.",接死<br/>英雄的 ― あなたが運命の工作員を対象とする呪文を１つ唱えるたび、各対戦相手はそれぞれクリーチャーを１体生け贄に捧げる。,"<i>""You are breathing borrowed air.""</i>",<i>「おまえの吸っている空気は、借り物なのだよ。」</i>,Matt Stewart,76,,,,,,,,,,THS,レア,,
"Ajani, Mentor of Heroes",1,{3}{G}{W},"Ajani, Mentor of Heroes",,GW,,プレインズウォーカー,アジャニ,"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br/>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br/>-8: You gain 100 life.",,,4,,,,,,,,,,,"Ajani, Mentor of Heroes",英雄の導師、アジャニ,"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br/>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br/>-8: You gain 100 life.",＋１：あなたのコントロールするクリーチャーを１体、または２体か３体対象とする。それらの上に３個の＋１/＋１カウンターを好きなように割り振って置く。<br/>＋１：あなたのライブラリーの一番上から４枚のカードを見る。あなたはその中からオーラ・カード１枚かクリーチャー・カード１枚かプレインズウォーカー・カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。<br/>－８：あなたは100点のライフを得る。,,,Aaron Miller,145,,,,,,,,,,JOU,神話レア,,
Ajani's Presence,1,{W},Ajani's Presence,,W,,インスタント,,"Strive — Ajani's Presence costs {2}{W} more to cast for each target beyond the first.<br/>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy them.)</i>",,,,,,,,,,,,,,Ajani's Presence,アジャニの存在,"Strive — Ajani's Presence costs {2}{W} more to cast for each target beyond the first.<br/>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy them.)</i>",奮励 ― アジャニの存在を唱えるためのコストは、２つ目以降の対象１つにつき{2}{W}多くなる。<br/>望む数のクリーチャーを対象とする。それらはそれぞれターン終了時まで＋１/＋１の修整を受けるとともに破壊不能を得る。（ダメージや「破壊する」と書かれた効果では、それは破壊されない。）,,,Raymond Swanland,2,,,,,,,,,,JOU,コモン,,
